,Unnamed: 0.1,Unnamed: 0,env_step,episode,episode_reward,eval_total_time,frame,step,time,env,seed,agent,_step
0,0.0,0.0,1000.0,0.0,19.3,7.811291456222534,1000.0,500.0,7.811233758926392,reacher-hard,767,TCRL,
1,1.0,1.0,26000.0,25.0,162.3,99.61987400054932,26000.0,13000.0,99.61982655525208,reacher-hard,767,TCRL,
2,2.0,2.0,51000.0,50.0,59.4,238.77369117736816,51000.0,25500.0,238.77363681793213,reacher-hard,767,TCRL,
3,3.0,3.0,76000.0,75.0,213.6,380.3694956302643,76000.0,38000.0,380.3694443702698,reacher-hard,767,TCRL,
4,4.0,4.0,101000.0,100.0,392.0,521.2384126186371,101000.0,50500.0,521.238358259201,reacher-hard,767,TCRL,
5,5.0,5.0,126000.0,125.0,167.5,663.1583390235901,126000.0,63000.0,663.1582901477814,reacher-hard,767,TCRL,
6,6.0,6.0,151000.0,150.0,584.5,804.9042615890503,151000.0,75500.0,804.9042088985443,reacher-hard,767,TCRL,
7,7.0,7.0,176000.0,175.0,632.0,947.1158845424652,176000.0,88000.0,947.1158382892608,reacher-hard,767,TCRL,
8,8.0,8.0,201000.0,200.0,766.6,1090.3652074337006,201000.0,100500.0,1090.3651597499847,reacher-hard,767,TCRL,
9,9.0,9.0,226000.0,225.0,696.7,1238.9240436553955,226000.0,113000.0,1238.923993349075,reacher-hard,767,TCRL,
10,10.0,10.0,251000.0,250.0,678.8,1390.962303161621,251000.0,125500.0,1390.9622519016266,reacher-hard,767,TCRL,
11,11.0,11.0,276000.0,275.0,664.2,1543.5677497386932,276000.0,138000.0,1543.5676972866058,reacher-hard,767,TCRL,
12,12.0,12.0,301000.0,300.0,871.8,1697.6695666313171,301000.0,150500.0,1697.669514656067,reacher-hard,767,TCRL,
13,13.0,13.0,326000.0,325.0,961.3,1853.6151909828184,326000.0,163000.0,1853.61514210701,reacher-hard,767,TCRL,
14,14.0,14.0,351000.0,350.0,959.4,2012.945558786392,351000.0,175500.0,2012.945480108261,reacher-hard,767,TCRL,
15,15.0,15.0,376000.0,375.0,960.6,2172.3008880615234,376000.0,188000.0,2172.300833940506,reacher-hard,767,TCRL,
16,16.0,16.0,401000.0,400.0,918.3,2333.3885238170624,401000.0,200500.0,2333.388470172882,reacher-hard,767,TCRL,
17,17.0,17.0,426000.0,425.0,963.3,2497.4412965774536,426000.0,213000.0,2497.4412462711334,reacher-hard,767,TCRL,
18,18.0,18.0,451000.0,450.0,972.2,2663.060897350312,451000.0,225500.0,2663.0608491897583,reacher-hard,767,TCRL,
19,19.0,19.0,476000.0,475.0,973.1,2826.209363937378,476000.0,238000.0,2826.209317445755,reacher-hard,767,TCRL,
20,20.0,20.0,501000.0,500.0,968.3,2990.8698694705963,501000.0,250500.0,2990.8698217868805,reacher-hard,767,TCRL,
21,21.0,21.0,526000.0,525.0,940.5,3155.1100153923035,526000.0,263000.0,3155.1099667549133,reacher-hard,767,TCRL,
22,22.0,22.0,551000.0,550.0,963.6,3321.730123281479,551000.0,275500.0,3321.730068922043,reacher-hard,767,TCRL,
23,23.0,23.0,576000.0,575.0,952.2,3488.1765427589417,576000.0,288000.0,3488.1764936447144,reacher-hard,767,TCRL,
24,24.0,24.0,601000.0,600.0,959.7,3654.804890155792,601000.0,300500.0,3654.8048419952393,reacher-hard,767,TCRL,
